Name,Height,Weight
Jason_Wilnis,1.85,85000.0
Javier_Hernández_(kickboxer),1.65,61000.0
Jayson_Vemoa,1.8,80000.0
Jean-Claude_Leuyer,1.905,102513.6
Jean-François_Bergeron_(boxer),1.95,100000.0
Jean-Louis_Mandengue,1.86,81000.0
Jean-Paul_Mendy,1.82,75000.0
Jeff_Horn,1.75,66680.0
Jeremy_Williams_(boxer),1.8542,92988.0
Jerrel_Venetiaan,1.86,89000.0
Jerry_Armstrong,1.61,54000.0
Jerry_Belmontes,1.7526,57153.6
John_Mahan,1.8288,95709.6
Jordan_Lutalo_Evora,1.88,94700.0
Jordan_Tai,1.8,70000.0
Jordan_Watson,1.78,70000.0
Jorge_Gutiérrez_(boxer),1.8,71000.0
Jorge_Hernández_(boxer),1.7,47000.0
Joseph_Cordina,1.75,61000.0
Joseph_Jermia,1.65,48000.0
Joseph_Joyce,1.98,93000.0
Joseph_Kwadjo,1.8,74600.0
Joseph_Marwa,1.78,67000.0
Joseph_Valtellini,1.8,77100.0
Josué_Blocus,1.87,103000.0
José_Aguilar_(boxer),1.73,64000.0
José_Pérez_Reyes,1.65,48000.0
José_Reis_(kickboxer),1.82,75000.0
Juan_Carlos_Lemus,1.82,71000.0
Juan_Fabila_Mendoza,1.63,54000.0
Juan_McPherson,1.85,69000.0
Juan_Montiel,1.76,73000.0
Julie_Kitchen,1.8,59000.0
Julius_Indongo,1.79,65000.0
Justin_Kane,1.65,54000.0
Jyri_Kjäll,1.8,67000.0
János_Váradi,1.64,51000.0
Jürgen_Fanghänel,1.87,90000.0
J'Leon_Love,1.78,76204.8
Jackson_Chanet,1.73,91000.0
Jackson_Woods,1.7,52000.0
Jafar_Ahmadi,1.88,105000.0
Jahon_Qurbonov,1.86,81000.0
Jai_Opetaia,1.88,91000.0
Robert_Alfonso,1.93,102000.0
Robert_Carmody,1.58,51000.0
Roberto_Balado,1.83,100000.0
Roberto_Cammarelle,1.9,103000.0
Roberto_Cocco,1.81,78000.0
Rocky_Fielding,1.87,76204.8
Rocky_Gattellari,1.6,51000.0
Rogelio_Marcelo,1.5,48000.0
Rola_El-Halabi,1.68,61236.0
Roland_Raforme,1.92,81000.0
Rolandas_Jasevičius,1.73,69000.0
Roman_Mailov,1.75,70000.0
Romeo_Brin,1.7,64000.0
Romie_Adanza,1.63,52100.0
Ronald_Gavril,1.8796,76204.8
Rovshan_Huseynov,1.67,60000.0
Éric_Lucas,1.8288,76204.8
Ruslan_Khairov,1.75,69000.0
Ruslan_Myrsatayev,1.85,97000.0
Rustam_Saidov,1.88,96000.0
Rustemi_Kreshnik,1.87,108000.0
Ryan_Langham,1.82,57000.0
Ryuji_Hara,1.5621,47628.0
Róbert_Isaszegi,1.64,48000.0
Răzvan_Benche,1.9,105000.0
Ramadan_Yasser,1.85,75000.0
Ramaz_Paliani,1.72,57000.0
Ramiro_Reducindo,1.9,81000.0
Ramy_Zialor,1.6,64000.0
Ramón_Duvalón,1.67,51000.0
Randy_Blake,1.91,95100.0
Raphael_Butler,1.905,117936.0
Raphaël_Llodra,1.85,72500.0
Rashi_Ali_Hadj_Matumla,1.65,63000.0
Rayen_Simson,1.81,76000.0
Raynell_Williams,1.7,57000.0
Raúl_Castañeda,1.56,48000.0
Redouane_Bouchtouk,1.65,48000.0
Reece_McFadden,1.55,52000.0
Remigijus_Morkevičius,1.6764000000000001,64864.8
René_Monse,1.9,94000.0
Reuben_de_Jong,2.08,140000.0
Ricardo_Delgado_(boxer),1.61,51000.0
Richard_Igbineghu,1.93,91000.0
Richard_Murunga,1.78,67000.0
Richard_Nowakowski,1.74,57000.0
Rick_Cheek,1.93,113000.0
Rickard_Nordstrand,1.82,82000.0
Rico_Verhoeven,1.96,114000.0
Rafael_Carbonell,1.6,48000.0
Rafael_Lozano,1.5,48000.0
Rafael_Ramos_(boxer),1.55,48000.0
Raimkul_Malakhbekov,1.68,54000.0
Magomed_Aripgadjiev,1.85,81000.0
Magomedrasul_Majidov,1.9,110000.0
Mahammatkodir_Abdullaev,1.69,63000.0
Maikro_Romero,1.65,48000.0
Maimaitituersun_Qiong,1.7,64000.0
Makoto_Uehara,1.82,90300.0
Maksym_Tretyak,1.71,57000.0
Mandeep_Jangra,1.75,69000.0
Mandy_Bujold,1.6,51000.0
Mansueto_Velasco,1.57,48000.0
Manuel_Mantilla,1.65,51000.0
Manuel_Vilchez,1.73,54000.0
Manus_Boonjumnong,1.73,64000.0
Marc_de_Bonte,1.88,75800.0
Marcela_Acuña,1.524,54432.0
Marcio_Navarro,1.8288,70308.0
Marco_Piqué,1.83,72500.0
Marcus_Oliveira,1.85,78926.4
Marek_Piotrowski,1.87,85000.0
Mareks_Lavrinovics,1.8,79200.0
Maurice_Smith_(kickboxer),1.86,93440.0
Max_Baumert,1.82,70000.0
Mebarek_Soltani,1.72,51000.0
Mehdi_Assous,1.52,51000.0
Mehdi_Mirdavoudi,2.0,145000.0
Mehrullah_Lassi,1.62,54000.0
Mekhak_Ghazaryan,1.65,57000.0
Michael_Macaque,1.78,103000.0
Michael_Madsen_(boxer),1.79,81000.0
Michael_McDonald_(kickboxer),1.8034,95709.6
Michael_Medor,1.7,60000.0
Michael_Pillay,1.77,67000.0
Michael_Thompson_(karateka),1.81,88100.0
Michał_Głogowski,1.81,70000.0
Michel_López_Núñez,1.89,91000.0
Mickaël_Piscitello,1.82,70000.0
Mihai_Barbu,1.79,79000.0
Mikaela_Mayer,1.7526,64000.0
Marijo_Šivolija,1.87,81000.0
Marios_Kaperonis,1.73,60000.0
Mark_Miller_(kickboxer),1.905,104328.0
Mark_Simmons_(boxer),1.91,91000.0
Marlen_Esparza,1.6002,50803.2
Martin_Holm,1.87,103000.0
Marvin_Eastman,1.75,94100.0
Mary_Kom,1.58,51000.0
Masaaki_Noiri,1.75,63000.0
Masahiro_Yamamoto_(kickboxer),1.65,63000.0
Masato_(kickboxer),1.74,70000.0
Mike_Reed_(boxer),1.6764000000000001,63504.0
Mike_Zambidis,1.67,70000.0
Mikhail_Yurchenko,1.95,107000.0
Mirat_Sarsembayev,1.64,51000.0
Mirdi_Limani,1.75,67000.0
Mirel_Iacob,1.74,81000.0
Mirzhan_Rakhimzhanov,1.64,51000.0
Mladen_Brestovac,1.98,116900.0
Mohamed_Allalou,1.74,63000.0
Mohamed_Bahari,1.8,75000.0
Mohamed_Hikal,1.75,71000.0
Mohamed_Marmouri,1.7,71000.0
Moon_Sung-kil,1.66,54000.0
Moussa_Konaté_(kickboxer),1.73,70000.0
Mujandjae_Kasuto,1.78,75000.0
Mukhtarkhan_Dildabekov,1.9,97000.0
Musashi_(kickboxer),1.85,103000.0
Mónica_Núñez,1.7272,74000.0
Dany_Bill,1.75,75000.0
Danyo_Ilunga,1.89,94900.0
Darwin_Angeles,1.64,48000.0
David_Dancrade,1.87,96000.0
David_Light_(boxer),1.87,91000.0
David_Nyika,1.93,88000.0
Dawid_Kasperski,1.87,85000.0
Derek_Panza,1.8288,99792.0
Detelin_Dalakliev,1.71,60000.0
Detlef_Kästner,1.74,71000.0
Dewey_Cooper,1.83,96600.0
Diwakar_Prasad,1.62,54000.0
Dmitry_Shakuta,1.87,81000.0
Dmitry_Vybornov,1.88,81000.0
Don_Wilson_(kickboxer),1.8288,80740.8
Doug_Viney,1.87,100000.0
Douglas_Rodríguez_(boxer),1.6,51000.0
Dusty_Hernández-Harrison,1.8288,66679.2
Dzianis_Hancharonak,1.93,91000.0
