Name,Height,Weight
Leonardo_Litwinczuk,2.03,103000.0
Leonardo_Manzo,198.0,86000.0
Leonardo_Morsut,1.99,93000.0
Leonardo_Rangel,2.04,95000.0
Leonardo_Velasquez,1.91,78000.0
Leonel_Marhall,1.98,86000.0
Leonel_Marshall_Jr.,1.96,96000.0
Lesya_Makhno,1.88,73000.0
Leticia_Boscacci,1.86,70000.0
Lewis_McDonald_(volleyball),1.8,79000.0
Li_Chun_(volleyball),190.0,82000.0
Li_Hang_(volleyball),2.03,89000.0
Li_Juan,1.86,73000.0
Li_Runming,1.98,90000.0
Li_Yuanbo,1.96,80000.0
Lian_Estrada,1.96,83000.0
Liang_Chunlong,2.06,91000.0
Liberman_Agámez,2.07,95000.0
Lidia_Chmielnicka-Żmuda,1.7,60000.0
Lienert_Cosemans,2.03,90000.0
Liliana_Fernández,1.78,75000.0
Lilya_Djenaoui,1.72,58000.0
Lim_Si-hyoung,1.91,80000.0
Lincoln_Williams,2.0,104000.0
Lionnis_Salazar,1.85,77000.0
Lisa_Barclay,1.88,84000.0
Lisa_Thomsen,1.72,68000.0
Lise_Van_Hecke,1.86,70000.0
Liu_Tingwei,1.95,82000.0
Liu_Xiangdong,1.98,93000.0
Liu_Xiaotong,1.87,72000.0
Liu_Ya,1.8,66000.0
Liván_Osoria,2.01,96000.0
Lizbeth_Sainz,1.78,55000.0
Lizeth_López,1.64,62000.0
Lloy_Ball,2.03,95000.0
Loic_Geiler,1.98,85000.0
Loice_Jepkoisgei,1.78,60000.0
Lonneke_Slöetjes,1.92,73000.0
Lora_Kitipova,1.84,66000.0
Lorenz_Koraimann,1.97,84000.0
Lorenzo_Perazzolo,1.95,92000.0
Loris_Manià,1.9,76000.0
Louis-Pierre_Mainville,200.0,100000.0
Louisa_Lippmann,1.91,78000.0
Lourenco_Martins,1.92,78000.0
Lowie_Stuer,1.93,81000.0
Loïc_Le_Marrec,1.9,82000.0
Lu_Fei,1.98,80000.0
Lubomir_Agontsev,1.9,87000.0
Lubos_Kostolani,2.03,95000.0
Luboš_Němec,1.84,70000.0
Luca_Tencati,2.0,97000.0
Luca_Vettori,2.0,95000.0
Lucas_Chávez,1.99,95000.0
Lucas_Lóh,1.95,83000.0
Lucas_Ocampo,196.0,100000.0
Lucas_Saatkamp,2.09,101000.0
Lucas_Snider,1.83,93000.0
Lucas_Tell,2.02,100000.0
Lucas_Van_Berkel,2.1,108000.0
Luciane_Escouto,1.85,73000.0
Luciano_Bozko,1.98,90000.0
Luciano_De_Cecco,1.94,89000.0
Luciano_Zornetta,1.82,70000.0
Lucille_Charuk,1.88,88000.0
Óscar_Aguirre,1.79,86000.0
Óscar_Rodríguez_Capel,1.7,70000.0
